TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
117,14,221,14,221,53,117,53,Status,0.9997789003768428,True,-1,Status
926,22,1032,22,1032,50,926,50,Mu Zhiyun,0.8972568953001481,False,0,name
924,52,1218,52,1218,76,924,76,Apirate captain who sailed the seven,0.7295004365508951,,0,
926,71,1172,71,1172,96,926,96,seas to Europe in search forthe,0.9033695257132162,,0,
98,88,130,88,130,112,98,112,HP,0.984684361151826,True,2,HP
156,86,220,86,220,114,156,114,20/20,0.9956768372153628,False,2,
925,92,1168,92,1168,113,925,113,treasure of a certain merchant.,0.67935415337872,True,0,treasure of a certain merchant.
98,132,142,132,142,156,98,156,MRL,0.995270848274231,True,2,MRL
156,130,232,130,232,158,156,158,48/100,0.9974578834791252,,2,
147,159,175,159,175,179,147,179,N,0.3076694282400218,,2,
18,175,83,175,83,205,18,205,Class,0.9539332591352602,,2,
126,178,268,178,268,202,126,202,Oriental Pirate,0.9999411088768796,,2,
1082,170,1136,170,1136,196,1082,196,MOV,0.9992525235149052,True,3,MOV
1182,170,1228,170,1228,196,1182,196,5+2,0.999994838088129,,3,
20,222,78,222,78,248,20,248,Trait,0.5822546647438851,True,13,Trait
134,224,166,224,166,248,134,248,Lv,0.999769211658554,,13,
224,222,272,222,272,248,224,248,5/30,0.6638568971843416,,13,
278,222,322,222,322,246,278,246,EXP,0.9998866452368932,,13,
1080,218,1130,218,1130,244,1080,244,ATK,0.95613642680934,True,4,ATK
1168,218,1204,218,1204,246,1168,246,15,0.9999984827137908,,4,
20,264,74,264,74,290,20,290,Skill,0.9998216161197532,True,13,Skill
1080,266,1142,266,1142,292,1080,292,LEAD,0.9999844431877136,True,5,LEAD
1185,267,1203,267,1203,291,1185,291,2,1.0,,5,
97,310,223,310,223,330,97,330,Show All Status,0.8274534089567209,True,13,Show All Status
1080,316,1128,316,1128,340,1080,340,DEF,0.9998520266087084,True,6,DEF
1184,314,1228,314,1228,340,1184,340,6+2,0.9999868543381324,,6,
1080,362,1134,362,1134,388,1080,388,AMR,0.9999812794832844,,6,
1184,362,1228,362,1228,388,1184,388,3+2,0.9998500347137452,True,9,3+2
66,390,210,390,210,414,66,414,Pirate Sidearm,0.7262939038687476,True,13,Pirate Sidearm
292,390,356,390,356,416,292,416,13/14,0.9999739836967356,,13,
1080,410,1130,410,1130,436,1080,436,SPD,0.9999066731845742,True,9,SPD
1187,411,1203,411,1203,433,1187,433,7,0.9999978542339392,,9,
66,446,188,446,188,470,66,470,Pirate Saber,0.7945588803808625,True,13,Pirate Saber
292,444,356,444,356,470,292,470,14/12,0.99721761635442,,13,
1080,458,1132,458,1132,484,1080,484,SCO,0.8876187453416712,True,9,SCO
1185,459,1203,459,1203,483,1185,483,5,0.9999992847443906,,9,
1080,524,1122,524,1122,550,1080,550,HIT,0.7296996900640944,,9,
1168,522,1206,522,1206,552,1168,552,93,0.9999994942378552,,9,
1080,572,1134,572,1134,598,1080,598,DDG,0.9997710898461682,,9,
1170,570,1204,570,1204,600,1170,600,21,0.9999992413568112,True,11,21
1082,620,1128,620,1128,646,1082,646,MRI,0.9994514119805802,,11,
513,669,803,669,803,689,513,689,Left-click to view detailed information,0.7194684766187973,True,9,Left-click to view detailed information
