TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
117,14,221,14,221,53,117,53,Status,0.9997789003768428,True,2,Status
926,22,1032,22,1032,50,926,50,Mu Zhiyun,0.8972568953001481,True,1,Mu Zhiyun
924,52,1218,52,1218,76,924,76,Apirate captain who sailed the seven,0.7295004365508951,,1,
926,71,1172,71,1172,96,926,96,seas to Europe in search forthe,0.9033695257132162,,1,
98,88,130,88,130,112,98,112,HP,0.9619241990456392,True,2,HP
156,86,220,86,220,114,156,114,20/20,0.9928808615377792,,2,
927,92,1168,92,1168,113,927,113,treasure of a certain merchant.,0.8332065582797773,True,1,treasure of a certain merchant.
135,117,161,117,161,133,135,133,Ltn,0.0041267061050875,True,2,Ltn
189,115,249,115,249,133,189,133,Rinia,0.0127016432720978,True,3,Rinia
98,132,142,132,142,156,98,156,MRL,0.98320072889328,,3,
156,132,232,132,232,158,156,158,748/100,0.8138897044360656,,3,
134,155,179,155,179,181,134,181,"46""",0.079751829888702,,3,
195,157,233,157,233,177,195,177,5oh,0.0037988020369608,,3,
18,175,83,175,83,205,18,205,Class,0.8919014372159795,True,14,Class
126,178,270,178,270,202,126,202,Oriental Pirate,0.9994700636986722,True,3,Oriental Pirate
1082,170,1136,170,1136,196,1082,196,MOV,0.9394310116767884,True,4,MOV
1182,170,1228,170,1228,196,1182,196,5+2,0.9999934615788996,,4,
20,222,78,222,78,248,20,248,Trait,0.5822546647438851,True,14,Trait
134,224,166,224,166,248,134,248,Lv,0.9997816863051432,,14,
224,222,272,222,272,248,224,248,5/30,0.9999877214431764,True,3,5/30
278,222,322,222,322,246,278,246,EXP,0.9998537472126788,,3,
1080,218,1130,218,1130,244,1080,244,ATK,0.9603675960495516,True,5,ATK
1168,218,1204,218,1204,246,1168,246,15,0.999998651301114,,5,
20,264,74,264,74,290,20,290,Skill,0.9998137257717116,True,14,Skill
1080,266,1142,266,1142,292,1080,292,LEAD,0.9999842643737792,True,6,LEAD
1185,267,1203,267,1203,291,1185,291,2,1.0,,6,
97,310,223,310,223,330,97,330,Show All Status,0.8274534089567209,True,14,Show All Status
1080,316,1128,316,1128,340,1080,340,DEF,0.9998594596207052,True,7,DEF
1184,314,1228,314,1228,340,1184,340,6+2,0.9999842389736112,,7,
1082,364,1134,364,1134,388,1082,388,AMR,0.9999883684969584,True,8,AMR
1184,362,1228,362,1228,388,1184,388,3+2,0.9996856451034546,,8,
66,390,210,390,210,414,66,414,Pirate Sidearm,0.9994703345686496,True,14,Pirate Sidearm
292,390,356,390,356,416,292,416,13/14,0.9999795281615071,,14,
1080,412,1130,412,1130,436,1080,436,SPD,0.99990639788596,True,9,SPD
1187,411,1203,411,1203,433,1187,433,7,0.9999978542339392,,9,
66,446,188,446,188,470,66,470,Pirate Saber,0.7941998100836745,True,14,Pirate Saber
292,446,354,446,354,472,292,472,14/12,0.9999949353570614,,14,
1080,458,1132,458,1132,484,1080,484,SCO,0.8878164667562408,True,10,SCO
1185,459,1203,459,1203,483,1185,483,5,0.9999992847443906,,10,
1080,524,1122,524,1122,550,1080,550,HIT,0.4085187385169507,True,11,HIT
1168,522,1206,522,1206,552,1168,552,93,0.9999998314126102,,11,
1082,572,1134,572,1134,598,1082,598,DDG,0.9998423224097434,True,12,DDG
1170,570,1204,570,1204,600,1170,600,21,0.999998651301114,,12,
1082,620,1128,620,1128,646,1082,646,MRI,0.999654090975822,True,13,MRI
512,668,806,668,806,692,512,692,Left-click to view detailed information.,0.8060730128957746,True,10,Left-click to view detailed information.
