TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
178,20,328,20,328,72,178,72,Status,0.9999118632105854,True,0,Status
1389,35,1665,35,1665,79,1389,79,Pauline Bonaparte,0.9999804155493505,True,1,Pauline Bonaparte
1391,81,1411,81,1411,107,1391,107,A,0.9995024823217733,True,2,A
1405,73,1849,73,1849,118,1405,118,strikingyoung female officer who has,0.9974227603941027,True,3,strikingyoung female officer who has
1387,109,1843,109,1843,145,1387,145,the power to make others courageous.,0.7364736619729726,True,4,the power to make others courageous.
148,136,196,136,196,168,148,168,HP,0.9920782805039665,True,5,HP
234,129,330,129,330,172,234,172,20/20,0.9765023750766995,True,6,20/20
148,202,216,202,216,234,148,234,MRL,0.9999549882486429,True,7,MRL
237,199,329,199,329,235,237,235,8/100,0.999299611102553,True,8,8/100
31,267,123,267,123,305,31,305,Class,0.7713374409368141,True,9,Class
191,269,303,269,303,305,191,305,Fusilier,0.99999806124419,True,10,Fusilier
1623,259,1705,259,1705,295,1623,295,MOV,0.9996986191531879,True,11,MOV
1778,260,1802,260,1802,290,1778,290,4,0.8730617356028384,True,12,4
31,335,119,335,119,373,31,373,Trait,0.6163416012061345,True,13,Trait
205,335,249,335,249,371,205,371,Lv,0.9983326566237947,True,14,Lv
337,335,409,335,409,371,337,371,3/15,0.9629497776076242,True,15,3/15
420,336,526,336,526,368,420,368,EXP 66,0.8434993056488769,True,16,EXP 66
1623,331,1695,331,1695,367,1623,367,ATK,0.995498794316276,True,17,ATK
1751,327,1803,327,1803,367,1751,367,13,0.798100065359379,True,18,13
29,397,111,397,111,437,29,437,Skill,0.9999165129731512,True,19,Skill
1623,403,1713,403,1713,439,1623,439,LEAD,0.9999856948852539,True,20,LEAD
1776,402,1802,402,1802,436,1776,436,8,0.9476718930261964,True,21,8
148,468,332,468,332,496,148,496,Show All Status,0.7130589930232424,True,22,Show All Status
1623,475,1693,475,1693,511,1623,511,DEF,0.9997319294317877,True,23,DEF
1777,473,1841,473,1841,511,1777,511,5 +1,0.9030805230140686,True,24,5 +1
1623,547,1703,547,1703,583,1623,583,AMR,0.9999521374702454,True,25,AMR
1777,545,1843,545,1843,583,1777,583,3+3,0.9999935304043551,True,26,3+3
100,584,403,584,403,628,100,628,Experimental Musket,0.9999868999736934,True,27,Experimental Musket
459,587,515,587,515,623,459,623,4/5,0.9999458345159088,True,28,4/5
1623,617,1697,617,1697,655,1623,655,SPD,0.9998105764389038,True,29,SPD
1778,618,1806,618,1806,652,1778,652,4,1.0,True,30,4
103,671,211,671,211,707,103,707,Musket,0.9999990753271193,True,31,Musket
449,671,525,671,525,707,449,707,8/14,0.9999895095825195,True,32,8/14
1621,687,1699,687,1699,727,1621,727,SCO,0.8181974998799884,True,33,SCO
1778,690,1802,690,1802,724,1778,724,5,1.0,True,34,5
362,806,388,806,388,834,362,834,(,0.09094586590640574,True,35,(
1623,789,1687,789,1687,825,1623,825,HIT,0.7859277536853632,True,36,HIT
1753,783,1807,783,1807,827,1753,827,96,0.9999924978692074,True,37,96
1623,861,1703,861,1703,897,1623,897,DDG,0.9998934588625465,True,38,DDG
1753,857,1805,857,1805,897,1753,897,20,0.9999988198884456,True,39,20
99,919,347,919,347,963,99,963,Order of Chivalry,0.6614448524804263,True,40,Order of Chivalry
1625,933,1691,933,1691,969,1625,969,MRI,0.999391194324844,True,41,MRI
1755,929,1805,929,1805,969,1755,969,17,0.9999988198884456,True,42,17
771,1003,1212,1003,1212,1036,771,1036,Left-click to view detailed information.,0.7163506557763104,True,43,Left-click to view detailed information.
