TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
118.0,14.0,219.0,14.0,219.0,51.0,118.0,51.0,Status,0.9999306490006784,True,1,Status
926.0,20.0,1118.0,20.0,1118.0,52.0,926.0,52.0,Adelaide de Broglie,0.8499800831033669,,1,
924.0,50.0,1220.0,50.0,1220.0,78.0,924.0,78.0,The young leader ofthe Secret du Roi,0.8950282792668381,,1,
923.0,71.0,1234.0,71.0,1234.0,97.0,923.0,97.0,hopes to restore the organization to its,0.7016837754590184,,1,
98.0,88.0,128.0,88.0,128.0,112.0,98.0,112.0,HP,0.990785022854393,,1,
156.0,86.0,222.0,86.0,222.0,116.0,156.0,116.0,36/36,0.9999477540642054,,1,
924.0,92.0,1032.0,92.0,1032.0,118.0,924.0,118.0,former glory.,0.8585971779800666,,1,
275.0,115.0,311.0,115.0,311.0,133.0,275.0,133.0,Foli,0.0048208874650299,,1,
98.0,132.0,144.0,132.0,144.0,156.0,98.0,156.0,MRL,0.928847312927246,,1,
156.0,130.0,220.0,130.0,220.0,156.0,156.0,156.0,0/100,0.9999761161836156,,1,
123.0,173.0,219.0,173.0,219.0,210.0,123.0,210.0,Voltigeur,0.9999466730001924,,1,
1080.0,170.0,1136.0,170.0,1136.0,196.0,1080.0,196.0,MOV,0.9989175219931642,,1,
1185.0,171.0,1203.0,171.0,1203.0,195.0,1185.0,195.0,6,0.9999971389790973,,1,
20.0,222.0,78.0,222.0,78.0,248.0,20.0,248.0,Trait,0.9984799188558724,,1,
134.0,222.0,166.0,222.0,166.0,250.0,134.0,250.0,Lv,0.9998617611356432,,1,
212.0,222.0,272.0,222.0,272.0,248.0,212.0,248.0,24/30,0.9999987738235664,,1,
278.0,222.0,350.0,222.0,350.0,246.0,278.0,246.0,EXP 57,0.9958145394156086,,1,
1080.0,220.0,1130.0,220.0,1130.0,244.0,1080.0,244.0,ATK,0.9549326620628092,,1,
1166.0,218.0,1202.0,218.0,1202.0,244.0,1166.0,244.0,22,0.9999994942378552,,1,
20.0,264.0,74.0,264.0,74.0,290.0,20.0,290.0,Skill,0.9998779146059862,,1,
1080.0,266.0,1142.0,266.0,1142.0,292.0,1080.0,292.0,LEAD,0.9999895691871644,,1,
1170.0,266.0,1206.0,266.0,1206.0,294.0,1170.0,294.0,14,0.9999971340155042,,1,
99.0,313.0,221.0,313.0,221.0,331.0,99.0,331.0,Show All Status,0.5866274740234725,,1,
1082.0,316.0,1128.0,316.0,1128.0,340.0,1082.0,340.0,DEF,0.9997983439640994,,1,
1168.0,314.0,1204.0,314.0,1204.0,342.0,1168.0,342.0,21,0.5153585645711736,,1,
1080.0,364.0,1134.0,364.0,1134.0,388.0,1080.0,388.0,AMR,0.8069612979888916,,1,
1183.0,363.0,1203.0,363.0,1203.0,387.0,1183.0,387.0,8,0.7064585749570815,,1,
66.0,390.0,158.0,390.0,158.0,414.0,66.0,414.0,Fine Rifle,0.9956437418699098,,1,
292.0,390.0,354.0,390.0,354.0,416.0,292.0,416.0,12/12,0.9999779287970416,,1,
1080.0,412.0,1130.0,412.0,1130.0,436.0,1080.0,436.0,SPD,0.9997650333890342,,1,
1168.0,408.0,1204.0,408.0,1204.0,436.0,1168.0,436.0,24,0.999999915706304,,1,
66.0,446.0,204.0,446.0,204.0,470.0,66.0,470.0,Standard Rifle,0.8696912564429724,,1,
292.0,446.0,354.0,446.0,354.0,472.0,292.0,472.0,14/14,0.9999958416618098,,1,
1080.0,458.0,1132.0,458.0,1132.0,484.0,1080.0,484.0,SCO,0.8766524231763144,,1,
1170.0,458.0,1206.0,458.0,1206.0,486.0,1170.0,486.0,14,0.9885494112968444,,1,
1080.0,524.0,1124.0,524.0,1124.0,550.0,1080.0,550.0,HIT,0.8554155356568898,,1,
1170.0,522.0,1206.0,522.0,1206.0,552.0,1170.0,552.0,38,1.0,True,4,38
66.0,558.0,242.0,558.0,242.0,584.0,66.0,584.0,Experimental Rifle,0.8240292035362236,True,1,Experimental Rifle
304.0,556.0,342.0,556.0,342.0,582.0,304.0,582.0,5/5,0.9999818300860468,,1,
1082.0,572.0,1134.0,572.0,1134.0,598.0,1082.0,598.0,DDG,0.5150628089904785,,1,
1170.0,570.0,1206.0,570.0,1206.0,600.0,1170.0,600.0,43,0.9659250322991632,True,4,43
66.0,614.0,208.0,614.0,208.0,640.0,66.0,640.0,Desaix'$ Sabre,0.8184456062862203,True,1,Desaix'$ Sabre
1082.0,620.0,1128.0,620.0,1128.0,646.0,1082.0,646.0,MRI,0.9992256843010852,True,4,MRI
1168.0,618.0,1204.0,618.0,1204.0,648.0,1168.0,648.0,21,0.9999989884757856,,4,
637.0,669.0,687.0,669.0,687.0,689.0,637.0,689.0,Detail,0.9999948899632556,True,1,Detail
21.02202795004179,173.16388105512118,83.88987397148601,181.19462528663504,79.97797204995821,207.8361189448788,17.110126028513992,199.80537471336496,Class,0.8148907788000684,,1,
